feature,importance
stay_length_nights,0.20546358974139056
longitude,0.16024290159990234
latitude,0.10996989595203861
bedroom_count,0.06546692537590076
is_luxury,0.05253242477322839
rating_count,0.046948830188249725
rating_value,0.044187090578081636
is_peak_season,0.04084796426494711
discount_rate,0.03825140559297013
season_winter,0.032547161997195775
city_tier,0.027785510183250425
is_long_stay,0.023441764965626683
total_capacity,0.019009007013221824
property_type_Other,0.01759963628318599
beds_per_bedroom,0.01534096708339582
size_category_Large,0.014651265793002709
bed_count,0.014337536924758289
size_category_Medium,0.011394814481864217
property_type_House,0.009279321522444331
is_superhost,0.006466523956028654
badge_count,0.005087056568378035
property_type_Villa,0.004796950577132479
city_Rabat,0.004503475647663363
city_Casablanca,0.0036343948124360793
room_type_Private room,0.003334507345884335
property_type_Condominium,0.003159287407944293
city_Ouarzazate,0.002949012441867938
city_Marrakech,0.00221875121970597
city_Meknes,0.0019331192892216027
city_Fes,0.001915888085229648
size_category_Small,0.001770396845982807
image_count,0.0016204195938332587
city_Chefchaouen,0.0012253801711365874
city_Oujda,0.0010496368093467815
has_high_rating,0.0010232922124525571
property_type_Bed and breakfast,0.0009131948748384684
season_spring,0.000752438092498537
season_summer,0.0007048971312337047
city_Tétouan,0.000528925498566133
city_Al Hoceima,0.00043118749088442434
city_Essaouira,0.0002870803511799566
city_Tangier,0.00027139512000397877
property_type_Loft,9.074833120053207e-05
property_type_Boutique hotel,3.402581069478652e-05
